n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
204,156.942,-1.135,-1,-1,20.777,927.793,0,0,0,
205,158.004,-2.238,-1,-1,20.715,927.895,0,0,0,
206,158.665,-1.638,35.104772833333335,-117.79596566666666,20.755,927.838,0,0,0,
207,159.327,-0.935,35.1047775,-117.795964,20.77,927.834,0,0,0,
208,159.99,-1.42,-1,-1,20.762,927.853,0,0,0,
209,160.654,-0.982,35.1047775,-117.795964,20.767,927.67,0,0,0,
210,161.718,0.34,-1,-1,20.73,927.705,0,0,0,
211,162.378,-0.896,-1,-1,20.792,927.791,0,0,0,
212,163.042,-1.117,-1,-1,20.81,927.773,0,0,0,
213,163.706,-0.965,-1,-1,20.812,927.778,0,0,0,
214,164.367,-0.96,35.1047775,-117.795964,20.815,927.801,0,0,0,
215,165.431,-1.482,35.104779666666666,-117.795962,20.75,927.75,0,0,0,
216,166.094,-1.752,-1,-1,20.839,927.833,0,0,0,
217,166.755,-1.424,35.104779666666666,-117.795962,20.852,927.793,0,0,0,
218,167.417,-1.186,-1,-1,20.839,927.801,0,0,0,
219,168.081,-1.116,-1,-1,20.839,927.743,0,0,0,
220,169.142,0.624,-1,-1,20.677,927.643,0,0,0,
221,169.803,0.032,-1,-1,20.817,927.74,0,0,0,
222,170.464,-1.097,35.104779666666666,-117.795962,20.815,927.794,0,0,0,
223,171.125,-1.145,35.10478283333333,-117.7959525,20.839,927.801,0,0,0,
224,171.786,-0.937,-1,-1,20.847,927.765,0,0,0,
225,172.847,-0.78,35.10478283333333,-117.7959525,20.8,927.752,0,0,0,
226,173.508,-0.304,-1,-1,20.86,927.724,0,0,0,
227,174.169,-0.862,-1,-1,20.887,927.8,0,0,0,
228,174.832,-0.942,-1,-1,20.882,927.751,0,0,0,
229,175.493,-0.947,-1,-1,20.889,927.791,0,0,0,
230,176.554,-0.708,35.10478283333333,-117.7959525,20.829,927.755,0,0,0,
231,177.216,-0.978,35.10480333333334,-117.79594333333333,20.884,927.789,0,0,0,
232,177.876,-0.738,-1,-1,20.882,927.739,0,0,0,
233,178.537,-0.793,35.10480333333334,-117.79594333333333,20.884,927.751,0,0,0,
234,179.198,-0.853,-1,-1,20.894,927.8,0,0,0,
235,180.261,-0.787,-1,-1,20.849,927.784,0,0,0,
236,180.923,-1.237,-1,-1,20.927,927.624,0,0,0,
237,181.583,-1.479,-1,-1,20.954,927.823,0,0,0,
238,182.244,-0.6,35.10480333333334,-117.79594333333333,20.954,927.777,0,0,0,
239,182.906,-0.902,35.10481166666667,-117.79593366666667,20.949,927.714,0,0,0,
240,183.967,-0.302,-1,-1,20.849,927.705,0,0,0,
241,184.628,-0.507,35.10481166666667,-117.79593366666667,20.874,927.741,0,0,0,
242,185.291,-0.542,-1,-1,20.879,927.713,0,0,0,
243,185.956,-0.499,-1,-1,20.775,927.767,0,0,0,
244,186.62,-0.676,-1,-1,20.899,927.696,0,0,0,
245,187.682,-0.626,-1,-1,20.82,927.731,0,0,0,
246,188.345,-0.282,35.10481166666667,-117.79593366666667,20.877,927.672,0,0,0,
247,189.006,0.107,35.104821333333334,-117.7959345,20.877,927.735,0,0,0,
248,189.669,-0.597,-1,-1,20.879,927.675,0,0,0,
249,190.329,0.602,35.104821333333334,-117.7959345,20.87,927.748,0,0,0,
250,191.392,-0.685,-1,-1,20.81,927.749,0,0,0,
251,192.056,-1.091,-1,-1,20.854,927.768,0,0,0,
252,192.718,-0.091,-1,-1,20.787,927.698,0,0,0,
253,193.377,-0.501,-1,-1,20.827,927.725,0,0,0,
254,194.041,-0.656,35.104821333333334,-117.7959345,20.825,927.733,0,0,0,
255,195.103,-0.373,35.104824666666666,-117.79592933333333,20.785,927.74,0,0,0,
256,195.765,-0.221,-1,-1,20.832,927.715,0,0,0,
257,196.427,-0.63,35.104824666666666,-117.79592933333333,20.802,927.7,0,0,0,
258,197.088,-0.57,-1,-1,20.81,927.562,0,0,0,
259,197.75,0.85,-1,-1,20.825,927.745,0,0,0,
260,198.811,-0.509,-1,-1,20.74,927.754,0,0,0,
261,199.472,0.01,-1,-1,20.815,927.66,0,0,0,
262,200.132,-0.713,35.104824666666666,-117.79592933333333,20.805,927.693,0,0,0,
263,200.793,-0.789,35.1048255,-117.79593333333334,20.795,927.736,0,0,0,
264,201.454,-0.994,-1,-1,20.81,927.755,0,0,0,
265,202.515,-1.39,35.1048255,-117.79593333333334,20.73,927.777,0,0,0,
266,203.176,-0.808,-1,-1,20.807,927.715,0,0,0,
267,203.837,1.199,-1,-1,20.672,927.568,0,0,0,
268,204.498,-0.927,-1,-1,20.787,927.739,0,0,0,
269,205.159,-0.559,-1,-1,20.777,927.74,0,0,0,
270,206.22,-0.203,35.1048255,-117.79593333333334,20.7,927.709,0,0,0,
271,206.881,-0.383,35.10482783333333,-117.79594,20.762,927.72,0,0,0,
272,207.542,-0.873,-1,-1,20.755,927.794,0,0,0,
273,208.204,-0.205,35.10482783333333,-117.79594,20.735,927.703,0,0,0,
274,208.865,-0.125,-1,-1,20.705,927.74,0,0,0,
275,209.928,-1.191,-1,-1,20.6,927.839,0,0,0,
276,210.589,-2.266,-1,-1,20.672,928.029,0,0,0,
277,211.25,-1.06,-1,-1,20.732,927.715,0,0,0,
278,211.912,-0.769,35.10482783333333,-117.79594,20.692,927.753,0,0,0,
279,212.574,-0.555,35.10482116666667,-117.79593833333334,20.68,927.738,0,0,0,
280,213.635,0.039,-1,-1,20.603,927.69,0,0,0,
281,214.297,-0.496,35.10482116666667,-117.79593833333334,20.655,927.745,0,0,0,
282,214.959,0.078,-1,-1,20.65,927.708,0,0,0,
283,215.621,0.037,-1,-1,20.645,927.627,0,0,0,
284,216.284,-0.092,-1,-1,20.605,927.699,0,0,0,
285,217.345,-1.404,-1,-1,20.57,927.812,0,0,0,
286,218.007,-0.878,35.10482116666667,-117.79593833333334,20.682,927.79,0,0,0,
287,218.668,-0.402,35.104814,-117.79593516666667,20.712,927.803,0,0,0,
288,219.329,0.628,-1,-1,20.63,927.565,0,0,0,
289,219.99,0.784,35.104814,-117.79593516666667,20.565,927.549,0,0,0,
290,221.052,-0.197,-1,-1,20.553,927.674,0,0,0,
291,221.713,0.276,-1,-1,20.677,927.72,0,0,0,
292,222.375,0.068,-1,-1,20.715,927.688,0,0,0,
293,223.036,-1.412,-1,-1,20.777,927.849,0,0,0,
294,223.697,-1.014,35.104814,-117.79593516666667,20.807,927.692,0,0,0,
